"net_load","tempc","Time","DST","year","WtdTemp"
1175,14,0.208333333333333,0.166666666666667,0.214269406392694,18.8
1179,14.45,0.229166666666667,0.1875,0.214326484018265,18.8220909163595
1214,14.9,0.25,0.208333333333333,0.214383561643836,18.7364966678281
1268,14.7,0.270833333333333,0.229166666666667,0.214440639269406,18.3938154592875
1330,14.5,0.291666666666667,0.25,0.214497716894977,17.9498983672656
1392,15.2,0.3125,0.270833333333333,0.214554794520548,17.84
1440,15.9,0.333333333333333,0.291666666666667,0.214611872146119,17.8382575807657
1453,16.45,0.354166666666667,0.3125,0.214668949771689,17.8808405885904
1425,17,0.375,0.333333333333333,0.21472602739726,18.0432372542188
1375,17.7,0.395833333333333,0.354166666666667,0.214783105022831,18.4181425031303
1217,18.4,0.416666666666667,0.375,0.214840182648402,18.88
1079,18,0.4375,0.395833333333333,0.214897260273973,18.6292893218813
963,17.6,0.458333333333333,0.416666666666667,0.214954337899543,18.44
951,18.15,0.479166666666667,0.4375,0.215011415525114,18.8629073772598
1004,18.7,0.5,0.458333333333333,0.215068493150685,19.22
1035,18.35,0.520833333333333,0.479166666666667,0.215125570776256,19.01
936,18,0.541666666666667,0.5,0.215182648401826,18.8
849,17.95,0.5625,0.520833333333333,0.215239726027397,18.77
850,17.9,0.583333333333333,0.541666666666667,0.215296803652968,18.74
891,17.95,0.604166666666667,0.5625,0.215353881278539,18.77
1012,18,0.625,0.583333333333333,0.21541095890411,18.8
1158,17.7,0.645833333333333,0.604166666666667,0.21546803652968,18.62
1275,17.4,0.666666666666667,0.625,0.215525114155251,18.44
1370,16.85,0.6875,0.645833333333333,0.215582191780822,18.11
1412,16.3,0.708333333333333,0.666666666666667,0.215639269406393,17.78
1499,16.55,0.729166666666667,0.6875,0.215696347031963,17.93
1601,16.8,0.75,0.708333333333333,0.215753424657534,17.8925483399594
1674,16.9,0.770833333333333,0.729166666666667,0.215810502283105,17.52
1717,17,0.791666666666667,0.75,0.215867579908676,17.1757359312881
1706,16.9,0.8125,0.770833333333333,0.215924657534247,16.9
1676,16.8,0.833333333333333,0.791666666666667,0.215981735159817,16.8211714008877
1643,16.4,0.854166666666667,0.8125,0.216038812785388,16.4947864417421
1620,16,0.875,0.833333333333333,0.216095890410959,16.2349568120783
1577,15.9,0.895833333333333,0.854166666666667,0.21615296803653,16.3230593350049
1530,15.8,0.916666666666667,0.875,0.2162100456621,16.4668036620129
1465,15.7,0.9375,0.895833333333333,0.216267123287671,16.6646642486229
1420,15.6,0.958333333333333,0.916666666666667,0.216324200913242,16.913767262077
1358,15.55,0.979166666666667,0.9375,0.216381278538813,17.240912074892
1492,15.5,0,0.958333333333333,0.216438356164384,17.6009322712388
